127.0.0.1 - - [25/Nov/2019:10:31:44 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [25/Nov/2019:10:31:44 +0900] "GET /bookBoard/templated-transitive/index.html HTTP/1.1" 200 8517
0:0:0:0:0:0:0:1 - - [25/Nov/2019:10:31:44 +0900] "GET /bookBoard/templated-transitive/assets/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2019:10:31:44 +0900] "GET /bookBoard/templated-transitive/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2019:10:31:44 +0900] "GET /bookBoard/templated-transitive/assets/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2019:10:31:44 +0900] "GET /bookBoard/templated-transitive/assets/js/skel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2019:10:31:44 +0900] "GET /bookBoard/templated-transitive/assets/js/jquery.scrolly.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2019:10:31:44 +0900] "GET /bookBoard/templated-transitive/assets/js/jquery.scrollex.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2019:10:31:44 +0900] "GET /bookBoard/templated-transitive/assets/js/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2019:10:31:45 +0900] "GET /bookBoard/templated-transitive/assets/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2019:10:31:45 +0900] "GET /bookBoard/templated-transitive/images/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2019:10:31:45 +0900] "GET /bookBoard/templated-transitive/assets/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Nov/2019:10:31:49 +0900] "GET /bookBoard/templated-transitive/index.html HTTP/1.1" 200 8517
0:0:0:0:0:0:0:1 - - [25/Nov/2019:10:31:49 +0900] "GET /bookBoard/templated-transitive/assets/css/main.css HTTP/1.1" 200 75707
0:0:0:0:0:0:0:1 - - [25/Nov/2019:10:31:49 +0900] "GET /bookBoard/templated-transitive/assets/js/jquery.min.js HTTP/1.1" 200 95957
0:0:0:0:0:0:0:1 - - [25/Nov/2019:10:31:49 +0900] "GET /bookBoard/templated-transitive/assets/js/jquery.scrolly.min.js HTTP/1.1" 200 831
0:0:0:0:0:0:0:1 - - [25/Nov/2019:10:31:49 +0900] "GET /bookBoard/templated-transitive/assets/js/skel.min.js HTTP/1.1" 200 9066
0:0:0:0:0:0:0:1 - - [25/Nov/2019:10:31:49 +0900] "GET /bookBoard/templated-transitive/assets/js/jquery.scrollex.min.js HTTP/1.1" 200 2257
0:0:0:0:0:0:0:1 - - [25/Nov/2019:10:31:49 +0900] "GET /bookBoard/templated-transitive/assets/js/util.js HTTP/1.1" 200 12433
0:0:0:0:0:0:0:1 - - [25/Nov/2019:10:31:49 +0900] "GET /bookBoard/templated-transitive/assets/js/main.js HTTP/1.1" 200 3109
0:0:0:0:0:0:0:1 - - [25/Nov/2019:10:31:49 +0900] "GET /bookBoard/templated-transitive/assets/css/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [25/Nov/2019:10:31:50 +0900] "GET /bookBoard/templated-transitive/images/banner.jpg HTTP/1.1" 200 66823
0:0:0:0:0:0:0:1 - - [25/Nov/2019:10:31:50 +0900] "GET /bookBoard/templated-transitive/assets/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 71896
0:0:0:0:0:0:0:1 - - [25/Nov/2019:10:31:50 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [25/Nov/2019:10:31:51 +0900] "GET /bookBoard/templated-transitive/images/banner.mp4 HTTP/1.1" 206 10813056
