127.0.0.1 - - [05/Dec/2019:16:25:53 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [05/Dec/2019:16:25:54 +0900] "GET /bookBoard/templated-transitive/index.jsp HTTP/1.1" 200 8406
0:0:0:0:0:0:0:1 - - [05/Dec/2019:16:25:54 +0900] "GET /bookBoard/templated-transitive/assets/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2019:16:25:54 +0900] "GET /bookBoard/templated-transitive/assets/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2019:16:25:54 +0900] "GET /bookBoard/templated-transitive/assets/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2019:16:25:54 +0900] "GET /bookBoard/templated-transitive/assets/js/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2019:16:25:54 +0900] "GET /bookBoard/templated-transitive/assets/js/jquery.scrollex.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2019:16:25:54 +0900] "GET /bookBoard/templated-transitive/assets/js/jquery.scrolly.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2019:16:25:54 +0900] "GET /bookBoard/templated-transitive/assets/js/skel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2019:16:25:54 +0900] "GET /bookBoard/templated-transitive/assets/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2019:16:25:54 +0900] "GET /bookBoard/templated-transitive/images/banner.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2019:16:25:55 +0900] "GET /bookBoard/templated-transitive/assets/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2019:16:26:05 +0900] "GET /bookBoard/templated-transitive/index.jsp HTTP/1.1" 200 8406
0:0:0:0:0:0:0:1 - - [05/Dec/2019:16:26:05 +0900] "GET /bookBoard/templated-transitive/assets/js/jquery.min.js HTTP/1.1" 200 95957
0:0:0:0:0:0:0:1 - - [05/Dec/2019:16:26:05 +0900] "GET /bookBoard/templated-transitive/assets/js/jquery.scrollex.min.js HTTP/1.1" 200 2257
0:0:0:0:0:0:0:1 - - [05/Dec/2019:16:26:05 +0900] "GET /bookBoard/templated-transitive/assets/js/util.js HTTP/1.1" 200 12433
0:0:0:0:0:0:0:1 - - [05/Dec/2019:16:26:05 +0900] "GET /bookBoard/templated-transitive/assets/js/main.js HTTP/1.1" 200 3109
0:0:0:0:0:0:0:1 - - [05/Dec/2019:16:26:05 +0900] "GET /bookBoard/templated-transitive/assets/css/main.css HTTP/1.1" 200 75707
0:0:0:0:0:0:0:1 - - [05/Dec/2019:16:26:05 +0900] "GET /bookBoard/templated-transitive/assets/js/skel.min.js HTTP/1.1" 200 9066
0:0:0:0:0:0:0:1 - - [05/Dec/2019:16:26:05 +0900] "GET /bookBoard/templated-transitive/assets/js/jquery.scrolly.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Dec/2019:16:26:05 +0900] "GET /bookBoard/templated-transitive/assets/css/font-awesome.min.css HTTP/1.1" 200 29063
0:0:0:0:0:0:0:1 - - [05/Dec/2019:16:26:05 +0900] "GET /bookBoard/templated-transitive/images/banner.jpg HTTP/1.1" 200 66823
0:0:0:0:0:0:0:1 - - [05/Dec/2019:16:26:06 +0900] "GET /bookBoard/templated-transitive/assets/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 200 71896
0:0:0:0:0:0:0:1 - - [05/Dec/2019:16:26:06 +0900] "GET /bookBoard/templated-transitive/images/banner.mp4 HTTP/1.1" 206 10813056
0:0:0:0:0:0:0:1 - - [05/Dec/2019:16:26:06 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [05/Dec/2019:16:26:06 +0900] "GET /bookBoard/templated-transitive/images/banner.mp4 HTTP/1.1" 206 8715904
0:0:0:0:0:0:0:1 - - [05/Dec/2019:16:26:11 +0900] "GET /bookBoard/sessionChk.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2019:16:26:11 +0900] "GET /bookBoard/login.jsp HTTP/1.1" 200 997
0:0:0:0:0:0:0:1 - - [05/Dec/2019:16:26:11 +0900] "GET /bookBoard/login.css HTTP/1.1" 200 4476
0:0:0:0:0:0:0:1 - - [05/Dec/2019:16:26:17 +0900] "GET /bookBoard/loginChk.jsp?stu_no=201644037&stu_pw=test HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2019:16:26:17 +0900] "GET /bookBoard/templated-transitive/index.jsp HTTP/1.1" 200 8466
0:0:0:0:0:0:0:1 - - [05/Dec/2019:16:26:18 +0900] "GET /bookBoard/templated-transitive/images/banner.mp4 HTTP/1.1" 206 8519296
0:0:0:0:0:0:0:1 - - [05/Dec/2019:16:26:19 +0900] "GET /bookBoard/sessionChk.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [05/Dec/2019:16:26:22 +0900] "GET /bookBoard/css/custom.css HTTP/1.1" 404 1147
0:0:0:0:0:0:0:1 - - [05/Dec/2019:16:26:22 +0900] "GET /bookBoard/css/bootstrap-theme.css HTTP/1.1" 200 22608
0:0:0:0:0:0:0:1 - - [05/Dec/2019:16:26:22 +0900] "GET /bookBoard/css/bootstrap.css HTTP/1.1" 200 141414
0:0:0:0:0:0:0:1 - - [05/Dec/2019:16:26:22 +0900] "GET /bookBoard/mainDes.css HTTP/1.1" 304 -
